




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (6138)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (expected)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (over/under)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (FDR)
mitotic cell cycle checkpoint signaling (GO:0007093)	159	106	47.39	+	2.24	5.97E-10	5.07E-08
establishment of protein localization to organelle (GO:0072594)	394	203	117.43	+	1.73	5.90E-10	5.04E-08
phagocytosis, recognition (GO:0006910)	106	2	31.59	-	.06	5.19E-10	4.48E-08
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	181	100.74	+	1.80	5.21E-10	4.48E-08
negative regulation of biological process (GO:0048519)	5501	1890	1639.48	+	1.15	4.70E-10	4.08E-08
defense response (GO:0006952)	1426	292	425.00	-	.69	4.36E-10	3.81E-08
mitotic nuclear division (GO:0140014)	201	125	59.90	+	2.09	4.29E-10	3.77E-08
regulation of RNA biosynthetic process (GO:2001141)	3480	1254	1037.16	+	1.21	3.58E-10	3.16E-08
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1253	1035.67	+	1.21	3.11E-10	2.76E-08
peptidyl-amino acid modification (GO:0018193)	886	388	264.06	+	1.47	2.97E-10	2.65E-08
regulation of transcription, DNA-templated (GO:0006355)	3474	1253	1035.37	+	1.21	2.75E-10	2.47E-08
positive regulation of protein metabolic process (GO:0051247)	1562	624	465.53	+	1.34	2.51E-10	2.26E-08
positive regulation of biosynthetic process (GO:0009891)	2004	774	597.26	+	1.30	2.19E-10	1.99E-08
response to topologically incorrect protein (GO:0035966)	191	122	56.92	+	2.14	1.84E-10	1.68E-08
protein ubiquitination (GO:0016567)	746	339	222.33	+	1.52	1.57E-10	1.44E-08
positive regulation of biological process (GO:0048518)	6331	2156	1886.85	+	1.14	1.21E-10	1.12E-08
DNA replication (GO:0006260)	273	158	81.36	+	1.94	9.84E-11	9.15E-09
ncRNA metabolic process (GO:0034660)	521	257	155.28	+	1.66	9.03E-11	8.45E-09
cellular protein-containing complex assembly (GO:0034622)	867	385	258.40	+	1.49	8.47E-11	7.97E-09
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	625	462.25	+	1.35	7.99E-11	7.57E-09
proteasomal protein catabolic process (GO:0010498)	361	195	107.59	+	1.81	6.85E-11	6.52E-09
organonitrogen compound catabolic process (GO:1901565)	1091	466	325.15	+	1.43	6.25E-11	6.02E-09
negative regulation of mitotic cell cycle (GO:0045930)	294	168	87.62	+	1.92	6.26E-11	6.00E-09
cell cycle checkpoint signaling (GO:0000075)	188	123	56.03	+	2.20	6.10E-11	5.91E-09
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	623	458.97	+	1.36	4.96E-11	4.84E-09
positive regulation of cellular biosynthetic process (GO:0031328)	1969	769	586.83	+	1.31	4.67E-11	4.59E-09
negative regulation of biosynthetic process (GO:0009890)	1643	659	489.67	+	1.35	4.23E-11	4.18E-09
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	146	71.53	+	2.04	4.10E-11	4.08E-09
positive regulation of RNA metabolic process (GO:0051254)	1773	704	528.41	+	1.33	3.32E-11	3.32E-09
negative regulation of cellular biosynthetic process (GO:0031327)	1610	650	479.83	+	1.35	2.42E-11	2.44E-09
RNA splicing, via transesterification reactions (GO:0000375)	306	175	91.20	+	1.92	2.30E-11	2.33E-09
microtubule-based process (GO:0007017)	806	367	240.22	+	1.53	2.10E-11	2.14E-09
mRNA splicing, via spliceosome (GO:0000398)	303	174	90.30	+	1.93	1.91E-11	1.98E-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	174	90.30	+	1.93	1.91E-11	1.96E-09
organelle assembly (GO:0070925)	796	364	237.23	+	1.53	1.64E-11	1.71E-09
ribonucleoprotein complex biogenesis (GO:0022613)	462	238	137.69	+	1.73	1.63E-11	1.71E-09
establishment of localization (GO:0051234)	4631	1638	1380.19	+	1.19	1.50E-11	1.58E-09
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	739	555.24	+	1.33	1.18E-11	1.26E-09
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	7	49.18	-	.14	8.41E-12	8.98E-10
localization (GO:0051179)	5831	2019	1737.83	+	1.16	7.24E-12	7.79E-10
response to endoplasmic reticulum stress (GO:0034976)	260	158	77.49	+	2.04	6.19E-12	6.71E-10
negative regulation of cell cycle phase transition (GO:1901988)	294	173	87.62	+	1.97	5.14E-12	5.60E-10
protein modification by small protein conjugation (GO:0032446)	822	377	244.98	+	1.54	4.85E-12	5.32E-10
RNA splicing (GO:0008380)	409	220	121.90	+	1.80	4.75E-12	5.25E-10
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	942	731.08	+	1.29	3.56E-12	3.96E-10
nucleic acid-templated transcription (GO:0097659)	531	269	158.26	+	1.70	3.45E-12	3.87E-10
RNA biosynthetic process (GO:0032774)	543	274	161.83	+	1.69	3.13E-12	3.53E-10
transcription, DNA-templated (GO:0006351)	530	269	157.96	+	1.70	2.53E-12	2.87E-10
negative regulation of cellular process (GO:0048523)	4902	1735	1460.96	+	1.19	1.94E-12	2.22E-10
regulation of mRNA metabolic process (GO:1903311)	376	209	112.06	+	1.87	1.59E-12	1.84E-10
regulation of cellular component organization (GO:0051128)	2390	926	712.30	+	1.30	1.13E-12	1.32E-10
negative regulation of cell cycle (GO:0045786)	454	242	135.31	+	1.79	7.37E-13	8.63E-11
regulation of translation (GO:0006417)	415	227	123.68	+	1.84	6.70E-13	7.90E-11
complement activation, classical pathway (GO:0006958)	161	5	47.98	-	.10	6.27E-13	7.45E-11
negative regulation of cellular metabolic process (GO:0031324)	2613	1003	778.76	+	1.29	5.37E-13	6.43E-11
defense response to bacterium (GO:0042742)	350	34	104.31	-	.33	4.17E-13	5.03E-11
ubiquitin-dependent protein catabolic process (GO:0006511)	545	281	162.43	+	1.73	2.49E-13	3.02E-11
modification-dependent macromolecule catabolic process (GO:0043632)	563	288	167.79	+	1.72	2.18E-13	2.67E-11
mitochondrion organization (GO:0007005)	468	251	139.48	+	1.80	2.14E-13	2.64E-11
negative regulation of metabolic process (GO:0009892)	3095	1167	922.41	+	1.27	1.87E-13	2.33E-11
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1097	858.34	+	1.28	1.53E-13	1.92E-11
regulation of cellular amide metabolic process (GO:0034248)	479	256	142.76	+	1.79	1.42E-13	1.81E-11
protein-containing complex assembly (GO:0065003)	1358	581	404.73	+	1.44	1.43E-13	1.81E-11
modification-dependent protein catabolic process (GO:0019941)	552	285	164.51	+	1.73	1.37E-13	1.76E-11
negative regulation of cell cycle process (GO:0010948)	368	211	109.68	+	1.92	1.27E-13	1.64E-11
positive regulation of cellular process (GO:0048522)	5741	2018	1711.01	+	1.18	6.27E-14	8.19E-12
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	786	578.48	+	1.36	5.97E-14	7.86E-12
organelle localization (GO:0051640)	609	309	181.50	+	1.70	5.77E-14	7.67E-12
organic substance catabolic process (GO:1901575)	1769	730	527.22	+	1.38	2.75E-14	3.68E-12
cell division (GO:0051301)	498	268	148.42	+	1.81	2.09E-14	2.82E-12
regulation of cellular protein metabolic process (GO:0032268)	2501	980	745.38	+	1.31	1.87E-14	2.55E-12
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	312	181.50	+	1.72	1.79E-14	2.45E-12
mRNA processing (GO:0006397)	486	264	144.84	+	1.82	1.57E-14	2.17E-12
complement activation (GO:0006956)	177	5	52.75	-	.09	1.32E-14	1.84E-12
regulation of mitotic cell cycle phase transition (GO:1901990)	434	245	129.35	+	1.89	4.79E-15	6.76E-13
regulation of organelle organization (GO:0033043)	1208	539	360.02	+	1.50	4.05E-15	5.77E-13
regulation of mitotic cell cycle (GO:0007346)	588	308	175.24	+	1.76	2.94E-15	4.22E-13
phosphate-containing compound metabolic process (GO:0006796)	1808	752	538.84	+	1.40	2.76E-15	4.01E-13
protein modification by small protein conjugation or removal (GO:0070647)	1035	478	308.46	+	1.55	2.17E-15	3.17E-13
regulation of protein metabolic process (GO:0051246)	2665	1045	794.26	+	1.32	1.69E-15	2.49E-13
regulation of RNA metabolic process (GO:0051252)	3782	1413	1127.16	+	1.25	1.64E-15	2.45E-13
protein catabolic process (GO:0030163)	697	352	207.73	+	1.69	1.40E-15	2.11E-13
phosphorus metabolic process (GO:0006793)	1835	764	546.89	+	1.40	1.29E-15	1.96E-13
regulation of cell cycle phase transition (GO:1901987)	522	284	155.57	+	1.83	1.09E-15	1.67E-13
catabolic process (GO:0009056)	2096	855	624.68	+	1.37	8.70E-16	1.35E-13
cellular protein catabolic process (GO:0044257)	644	334	191.93	+	1.74	5.06E-16	7.91E-14
organic substance transport (GO:0071702)	2079	852	619.61	+	1.38	4.01E-16	6.34E-14
protein-containing complex subunit organization (GO:0043933)	1605	690	478.34	+	1.44	1.95E-16	3.11E-14
regulation of gene expression (GO:0010468)	4922	1794	1466.92	+	1.22	7.44E-17	1.20E-14
aromatic compound biosynthetic process (GO:0019438)	1060	498	315.92	+	1.58	4.96E-17	8.09E-15
intracellular protein transport (GO:0006886)	781	393	232.76	+	1.69	4.82E-17	7.94E-15
organic cyclic compound biosynthetic process (GO:1901362)	1196	548	356.45	+	1.54	4.63E-17	7.70E-15
posttranscriptional regulation of gene expression (GO:0010608)	581	317	173.16	+	1.83	1.79E-17	3.01E-15
regulation of cellular catabolic process (GO:0031329)	899	441	267.93	+	1.65	1.31E-17	2.23E-15
nucleobase-containing compound biosynthetic process (GO:0034654)	975	470	290.58	+	1.62	1.11E-17	1.91E-15
chromosome organization (GO:0051276)	1064	505	317.11	+	1.59	5.72E-18	9.94E-16
positive regulation of metabolic process (GO:0009893)	3820	1452	1138.49	+	1.28	3.61E-18	6.34E-16
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1355	1049.67	+	1.29	3.05E-18	5.42E-16
DNA repair (GO:0006281)	531	301	158.26	+	1.90	2.14E-18	3.85E-16
cellular catabolic process (GO:0044248)	1812	778	540.04	+	1.44	2.10E-18	3.81E-16
heterocycle biosynthetic process (GO:0018130)	1049	503	312.64	+	1.61	1.63E-18	2.99E-16
mRNA metabolic process (GO:0016071)	697	369	207.73	+	1.78	1.37E-18	2.55E-16
regulation of cell cycle process (GO:0010564)	792	406	236.04	+	1.72	1.26E-18	2.38E-16
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1537	1206.74	+	1.27	3.43E-19	6.54E-17
regulation of catabolic process (GO:0009894)	1066	514	317.70	+	1.62	3.32E-19	6.40E-17
humoral immune response (GO:0006959)	386	27	115.04	-	.23	2.76E-19	5.39E-17
protein localization to organelle (GO:0033365)	742	390	221.14	+	1.76	2.66E-19	5.33E-17
DNA metabolic process (GO:0006259)	777	404	231.57	+	1.74	2.69E-19	5.32E-17
regulation of biosynthetic process (GO:0009889)	4226	1596	1259.49	+	1.27	2.35E-19	4.76E-17
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1523	1191.84	+	1.28	2.05E-19	4.22E-17
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1513	1182.60	+	1.28	1.93E-19	4.01E-17
regulation of cellular biosynthetic process (GO:0031326)	4163	1578	1240.71	+	1.27	1.31E-19	2.76E-17
macromolecule catabolic process (GO:0009057)	1058	514	315.32	+	1.63	8.79E-20	1.88E-17
biological_process (GO:0008150)	17851	5583	5320.20	+	1.05	3.03E-20	6.66E-18
Unclassified (UNCLASSIFIED)	2744	555	817.80	-	.68	3.03E-20	6.57E-18
positive regulation of cellular metabolic process (GO:0031325)	3314	1307	987.68	+	1.32	1.64E-20	3.65E-18
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1244	930.76	+	1.34	1.40E-20	3.17E-18
nitrogen compound transport (GO:0071705)	1708	759	509.04	+	1.49	6.71E-21	1.54E-18
cellular macromolecule catabolic process (GO:0044265)	925	472	275.68	+	1.71	2.79E-21	6.48E-19
protein transport (GO:0015031)	1300	616	387.44	+	1.59	1.04E-21	2.46E-19
cellular component assembly (GO:0022607)	2494	1041	743.30	+	1.40	8.21E-22	1.97E-19
RNA processing (GO:0006396)	930	477	277.17	+	1.72	7.71E-22	1.87E-19
regulation of cell cycle (GO:0051726)	1164	567	346.91	+	1.63	6.22E-22	1.54E-19
cellular protein localization (GO:0034613)	1470	685	438.11	+	1.56	9.51E-23	2.42E-20
cellular macromolecule localization (GO:0070727)	1480	689	441.09	+	1.56	9.53E-23	2.39E-20
cellular response to DNA damage stimulus (GO:0006974)	793	429	236.34	+	1.82	6.15E-23	1.59E-20
establishment of protein localization (GO:0045184)	1397	661	416.35	+	1.59	3.40E-23	8.96E-21
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	726	462.85	+	1.57	2.00E-24	5.35E-22
establishment of localization in cell (GO:0051649)	2335	1006	695.91	+	1.45	1.77E-24	4.82E-22
adaptive immune response (GO:0002250)	658	62	196.11	-	.32	1.67E-24	4.63E-22
mitotic cell cycle process (GO:1903047)	675	390	201.17	+	1.94	1.11E-24	3.14E-22
mitotic cell cycle (GO:0000278)	750	422	223.53	+	1.89	5.43E-25	1.56E-22
macromolecule biosynthetic process (GO:0009059)	1680	777	500.70	+	1.55	3.68E-25	1.08E-22
cell cycle process (GO:0022402)	957	508	285.22	+	1.78	1.26E-25	3.77E-23
cellular protein modification process (GO:0006464)	2985	1242	889.63	+	1.40	4.19E-26	1.30E-23
protein modification process (GO:0036211)	2985	1242	889.63	+	1.40	4.19E-26	1.27E-23
cellular macromolecule biosynthetic process (GO:0034645)	1639	769	488.48	+	1.57	3.34E-26	1.06E-23
cellular component biogenesis (GO:0044085)	2754	1167	820.78	+	1.42	1.07E-26	3.47E-24
protein localization (GO:0008104)	2063	933	614.84	+	1.52	7.01E-28	2.31E-25
macromolecule localization (GO:0033036)	2496	1087	743.89	+	1.46	4.66E-28	1.57E-25
regulation of macromolecule metabolic process (GO:0060255)	6340	2354	1889.53	+	1.25	3.73E-28	1.28E-25
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2165	1710.71	+	1.27	2.93E-28	1.03E-25
cell cycle (GO:0007049)	1316	661	392.21	+	1.69	2.35E-28	8.46E-26
cellular process (GO:0009987)	15495	5028	4618.03	+	1.09	1.40E-28	5.13E-26
macromolecule modification (GO:0043412)	3211	1341	956.99	+	1.40	4.63E-29	1.74E-26
intracellular transport (GO:0046907)	1464	722	436.32	+	1.65	2.74E-29	1.06E-26
protein metabolic process (GO:0019538)	4203	1679	1252.63	+	1.34	9.87E-30	3.90E-27
cellular biosynthetic process (GO:0044249)	2715	1177	809.16	+	1.45	5.62E-30	2.28E-27
regulation of primary metabolic process (GO:0080090)	5925	2239	1765.85	+	1.27	5.15E-30	2.14E-27
RNA metabolic process (GO:0016070)	1582	772	471.49	+	1.64	2.95E-30	1.26E-27
biosynthetic process (GO:0009058)	2865	1234	853.87	+	1.45	1.08E-30	4.75E-28
gene expression (GO:0010467)	2117	973	630.94	+	1.54	4.04E-31	1.83E-28
organic substance biosynthetic process (GO:1901576)	2803	1216	835.39	+	1.46	3.55E-31	1.65E-28
cellular localization (GO:0051641)	2985	1283	889.63	+	1.44	9.23E-32	4.42E-29
organonitrogen compound metabolic process (GO:1901564)	5246	2040	1563.48	+	1.30	3.45E-32	1.76E-29
regulation of metabolic process (GO:0019222)	6874	2557	2048.68	+	1.25	3.51E-32	1.73E-29
system process (GO:0003008)	2057	326	613.05	-	.53	1.93E-32	1.02E-29
nervous system process (GO:0050877)	1416	187	422.02	-	.44	1.79E-32	9.78E-30
cellular component organization (GO:0016043)	5783	2217	1723.53	+	1.29	8.58E-33	4.84E-30
regulation of cellular metabolic process (GO:0031323)	6138	2334	1829.33	+	1.28	2.80E-33	1.64E-30
detection of stimulus (GO:0051606)	721	53	214.88	-	.25	7.00E-34	4.26E-31
cellular response to stress (GO:0033554)	1741	854	518.88	+	1.65	3.02E-34	1.91E-31
sensory perception (GO:0007600)	979	90	291.77	-	.31	3.45E-37	2.27E-34
cellular component organization or biogenesis (GO:0071840)	6006	2327	1789.99	+	1.30	1.09E-37	7.48E-35
cellular protein metabolic process (GO:0044267)	3590	1545	1069.94	+	1.44	1.10E-39	7.88E-37
organic cyclic compound metabolic process (GO:1901360)	3182	1438	948.34	+	1.52	3.16E-45	2.38E-42
cellular aromatic compound metabolic process (GO:0006725)	2937	1355	875.32	+	1.55	8.63E-46	6.82E-43
detection of stimulus involved in sensory perception (GO:0050906)	557	13	166.00	-	.08	1.34E-46	1.11E-43
nucleic acid metabolic process (GO:0090304)	2217	1103	660.74	+	1.67	1.55E-47	1.37E-44
organelle organization (GO:0006996)	3567	1587	1063.09	+	1.49	1.16E-47	1.07E-44
heterocycle metabolic process (GO:0046483)	2891	1358	861.61	+	1.58	3.25E-49	3.21E-46
nucleobase-containing compound metabolic process (GO:0006139)	2705	1296	806.18	+	1.61	4.72E-50	4.98E-47
sensory perception of smell (GO:0007608)	468	2	139.48	-	.01	2.46E-50	2.78E-47
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	131.43	-	 < 0.01	5.48E-51	6.66E-48
detection of chemical stimulus (GO:0009593)	522	5	155.57	-	.03	5.28E-52	6.96E-49
cellular nitrogen compound metabolic process (GO:0034641)	3395	1556	1011.82	+	1.54	1.33E-52	1.92E-49
sensory perception of chemical stimulus (GO:0007606)	543	5	161.83	-	.03	3.36E-54	5.31E-51
G protein-coupled receptor signaling pathway (GO:0007186)	1305	107	388.93	-	.28	9.84E-56	1.73E-52
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	144.84	-	 < 0.01	3.92E-56	7.75E-53
macromolecule metabolic process (GO:0043170)	6151	2552	1833.20	+	1.39	1.96E-64	4.42E-61
cellular macromolecule metabolic process (GO:0044260)	4909	2151	1463.05	+	1.47	1.07E-65	2.82E-62
organic substance metabolic process (GO:0071704)	7840	3123	2336.58	+	1.34	6.61E-71	2.09E-67
metabolic process (GO:0008152)	8313	3291	2477.55	+	1.33	6.12E-75	2.42E-71
nitrogen compound metabolic process (GO:0006807)	6886	2852	2052.26	+	1.39	9.47E-76	4.99E-72
primary metabolic process (GO:0044238)	7352	3012	2191.14	+	1.37	3.80E-78	3.00E-74
cellular metabolic process (GO:0044237)	7542	3123	2247.77	+	1.39	6.45E-88	1.02E-83
